Year,Quarter,Town,3-room,4-room,5-room,Executive
2010,Q3,Jurong East,293000,372000,456500,*
2010,Q3,Jurong West,276000,370000,445500,500000
2010,Q3,Kallang/Whampoa,314000,465000,584000,*
2010,Q3,Marine Parade,393000,*,*,-
2010,Q3,Pasir Ris,*,395000,448000,550000
2010,Q3,Punggol,-,405000,480000,*
2010,Q3,Queenstown,331500,617000,*,*
2010,Q3,Sembawang,-,380000,425000,492500
2010,Q3,Sengkang,-,410000,465000,542500
2010,Q3,Serangoon,308000,404400,489000,*
2010,Q3,Tampines,316000,400000,474000,576500
2010,Q3,Toa Payoh,318000,475000,586000,*
2010,Q3,Woodlands,264500,348000,404500,494000
2010,Q3,Yishun,280000,337000,426000,*
2010,Q2,Ang Mo Kio,305000,408000,589000,*
2010,Q2,Bedok,292000,372500,500000,564500
2010,Q2,Bishan,362000,470000,572000,695000
2010,Q2,Bukit Batok,280000,380000,532000,576500
2010,Q2,Bukit Merah,338000,542000,673000,-
2010,Q2,Bukit Panjang,285000,346000,415000,522500
2010,Q2,Bukit Timah,*,*,*,*
2010,Q2,Central,365000,*,*,-
2010,Q2,Choa Chu Kang,*,363500,420000,513000
2010,Q2,Clementi,330000,461500,566500,*
2010,Q2,Geylang,278000,394800,552500,*
2010,Q2,Hougang,288000,368000,450000,550000
2010,Q2,Jurong East,288000,386900,488500,*
2010,Q2,Jurong West,270000,361000,439500,490000
2010,Q2,Kallang/Whampoa,300000,472500,581000,*
2010,Q2,Marine Parade,379000,*,*,-
2010,Q2,Pasir Ris,-,388500,441000,537500
2010,Q2,Punggol,-,414000,465000,*
2010,Q2,Queenstown,320000,584000,720000,*
2010,Q2,Sembawang,-,380000,423000,470000
2010,Q2,Sengkang,-,389500,453000,524000
2010,Q2,Serangoon,292000,393300,464500,552500
2010,Q2,Tampines,313000,395000,461500,555000
2010,Q2,Toa Payoh,310000,390000,576500,*
2010,Q2,Woodlands,260000,342900,398000,479000
2010,Q2,Yishun,280000,330000,415000,500000
2010,Q1,Ang Mo Kio,290000,389500,550000,*
2010,Q1,Bedok,280000,367000,490000,535000
2010,Q1,Bishan,338000,452500,590000,685500
2010,Q1,Bukit Batok,271700,366000,520000,545000
2010,Q1,Bukit Merah,320000,500000,661500,-
2010,Q1,Bukit Panjang,275000,340000,406500,496000
2010,Q1,Bukit Timah,*,*,*,*
2010,Q1,Central,372500,*,*,-
2010,Q1,Choa Chu Kang,*,348000,410000,485000
2010,Q1,Clementi,315000,435000,557500,*
2010,Q1,Geylang,261000,398000,546000,*
2010,Q1,Hougang,273000,361500,438000,519000
2010,Q1,Jurong East,277000,348000,472500,580000
2010,Q1,Jurong West,255000,350000,415000,469000
2010,Q1,Kallang/Whampoa,295000,430000,565000,*
2010,Q1,Marine Parade,370000,*,*,-
2010,Q1,Pasir Ris,*,376300,419500,538800
2010,Q1,Punggol,-,388000,448400,*
2010,Q1,Queenstown,320000,550000,675000,*
2010,Q1,Sembawang,-,360000,407500,468800
2010,Q1,Sengkang,-,388000,437000,510000
2010,Q1,Serangoon,286000,380000,447000,561500
2010,Q1,Tampines,302800,387000,445000,550000
2010,Q1,Toa Payoh,300000,450000,583000,*
2010,Q1,Woodlands,250000,331500,389500,486000
2010,Q1,Yishun,265000,315000,405900,460000
2009,Q4,Ang Mo Kio,278000,384500,503000,*
2009,Q4,Bedok,265000,350000,480000,568000
2009,Q4,Bishan,322000,433500,550000,627500
2009,Q4,Bukit Batok,265000,372000,485000,511000
2009,Q4,Bukit Merah,309500,493000,635000,-
2009,Q4,Bukit Panjang,260000,320000,393000,485000
