Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 2,9,7,1,1,501,SCIENCE,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 2,2,2,1,1,367,SCHOOL OF COMPUTING,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 2,19,42,551,883,1244,SCIENCE,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 2,5,7,20,70,104,SCHOOL OF COMPUTING,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 3,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 3,6,6,150,1,1109,SCIENCE,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 3,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 3,19,32,50,838,1150,SCIENCE,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 3,5,6,2,20,170,SCHOOL OF COMPUTING,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,SCIENCE,0,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 1,2,1,1,1,1,SCHOOL OF COMPUTING,1,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,SCIENCE,0,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 3,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 3,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2012,2
CS1010,SECTIONAL TEACHING 1,1,4,121,1063,1063,SCIENCE,2,1,0,2A,2012,2
CS1010,SECTIONAL TEACHING 1,1,1,1,1,1,SCHOOL OF COMPUTING,2,1,0,2A,2012,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2A,2012,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2A,2012,2
CS1010,SECTIONAL TEACHING 2,2,7,266,1056,1093,SCIENCE,2,1,0,2A,2012,2
CS1010,SECTIONAL TEACHING 2,1,1,555,1,555,SCHOOL OF COMPUTING,2,0,1,2A,2012,2
CS1010,SECTIONAL TEACHING 3,3,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2A,2012,2
CS1010,SECTIONAL TEACHING 3,3,1,1,1,1,SCHOOL OF COMPUTING,2,0,1,2A,2012,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2B,2012,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2012,2
CS1010,SECTIONAL TEACHING 3,3,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2012,2
CS1010,SECTIONAL TEACHING 3,2,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2B,2012,2
CS1010,SECTIONAL TEACHING 1,1,2,1501,1713,1713,SCHOOL OF COMPUTING,2,1,1,3A,2012,2
CS1010,SECTIONAL TEACHING 2,2,8,70,1244,2000,SCHOOL OF COMPUTING,2,1,1,3A,2012,2
CS1010,SECTIONAL TEACHING 3,5,10,100,803,1900,SCHOOL OF COMPUTING,2,1,1,3A,2012,2
CS1010E,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 1,2,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 1,20,3,1,1,800,ENGINEERING,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 2,1,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 2,10,4,1,1,500,ENGINEERING,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 3,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 3,1,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 3,10,3,3,1,500,ENGINEERING,0,1,0,1A,2010,1
CS1010E,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2010,1
